ad,tip,enlem,boylam,mahalle,adres,sorgular,kaynak
Dervişali Parkı,toplanma_alani,,,Derviş Ali Mh.,Sena Sk.,"Dervişali Parkı, Sena Sk., Derviş Ali Mh., Fatih, İstanbul||Dervişali Parkı, Fatih, İstanbul",Fatih Belediyesi (2019 resmî liste)
Dr. Metin Alatlı Parkı,toplanma_alani,,,Haseki Sultan Mh.,Suphipaşa Sk.,"Dr. Metin Alatlı Parkı, Suphipaşa Sk., Haseki Sultan Mh., Fatih, İstanbul||Dr. Metin Alatlı Parkı, Fatih, İstanbul",Fatih Belediyesi (2019 resmî liste)
Edirnekapı Meydanı,toplanma_alani,,,Derviş Ali Mh.,Fevzipaşa Cad.,"Edirnekapı Meydanı, Fevzipaşa Cad., Derviş Ali Mh., Fatih, İstanbul||Edirnekapı Meydanı, Fatih, İstanbul",Fatih Belediyesi (2019 resmî liste)
Engelliler Parkı,toplanma_alani,,,Molla Gürani Mh.,Dr. Ahmetpaşa Sk.,"Engelliler Parkı, Dr. Ahmetpaşa Sk., Molla Gürani Mh., Fatih, İstanbul||Engelliler Parkı, Fatih, İstanbul",Fatih Belediyesi (2019 resmî liste)
Fatih Anıt Parkı,toplanma_alani,,,Zeyrek Mh.,İtfaiye Cad.,"Fatih Anıt Parkı, İtfaiye Cad., Zeyrek Mh., Fatih, İstanbul||Fatih Anıt Parkı, Fatih, İstanbul",Fatih Belediyesi (2019 resmî liste)
Fatih Camii Avlusu,toplanma_alani,,,Ali Kuşçu Mh.,Fevzipaşa Cad.,"Fatih Camii Avlusu, Fevzipaşa Cad., Ali Kuşçu Mh., Fatih, İstanbul||Fatih Camii Avlusu, Fatih, İstanbul",Fatih Belediyesi (2019 resmî liste)
Fındıkzade Çukurbostan Şehir Parkı,toplanma_alani,,,Seyyid Ömer Mh.,Sırrıpaşa Sk.,"Fındıkzade Çukurbostan Şehir Parkı, Sırrıpaşa Sk., Seyyid Ömer Mh., Fatih, İstanbul||Fındıkzade Çukurbostan Şehir Parkı, Fatih, İstanbul",Fatih Belediyesi (2019 resmî liste)
Gülhane Parkı,toplanma_alani,,,Cankurtaran Mh.,Alemdar Cad.,"Gülhane Parkı, Alemdar Cad., Cankurtaran Mh., Fatih, İstanbul||Gülhane Parkı, Fatih, İstanbul",Fatih Belediyesi (2019 resmî liste)
Haşim İşcan Parkı,toplanma_alani,,,Karagümrük Mh.,Sofalı Çeşme Cad.,"Haşim İşcan Parkı, Sofalı Çeşme Cad., Karagümrük Mh., Fatih, İstanbul||Haşim İşcan Parkı, Fatih, İstanbul",Fatih Belediyesi (2019 resmî liste)
Hekimoğlu Ali Paşa Parkı,toplanma_alani,,,Cerrahpaşa Mh.,Hekimoğlu Alipaşa Cad.,"Hekimoğlu Ali Paşa Parkı, Hekimoğlu Alipaşa Cad., Cerrahpaşa Mh., Fatih, İstanbul||Hekimoğlu Ali Paşa Parkı, Fatih, İstanbul",Fatih Belediyesi (2019 resmî liste)
Kadıçeşme Parkı,toplanma_alani,,,Zeyrek Mh.,Haliçgören Sk.,"Kadıçeşme Parkı, Haliçgören Sk., Zeyrek Mh., Fatih, İstanbul||Kadıçeşme Parkı, Fatih, İstanbul",Fatih Belediyesi (2019 resmî liste)
Kalburcu Mehmet Parkı,toplanma_alani,,,Mevlanakapı Mh.,Kalburcu Mehmet Çeşmesi Sk.,"Kalburcu Mehmet Parkı, Kalburcu Mehmet Çeşmesi Sk., Mevlanakapı Mh., Fatih, İstanbul||Kalburcu Mehmet Parkı, Fatih, İstanbul",Fatih Belediyesi (2019 resmî liste)
Kamil Başaran Parkı,toplanma_alani,,,Seyyid Ömer Mh.,Miralay Hasan Kazımbey Sk.,"Kamil Başaran Parkı, Miralay Hasan Kazımbey Sk., Seyyid Ömer Mh., Fatih, İstanbul||Kamil Başaran Parkı, Fatih, İstanbul",Fatih Belediyesi (2019 resmî liste)
Karagümrük Stadı,toplanma_alani,,,Derviş Ali Mh.,Fevzipaşa Cad.,"Karagümrük Stadı, Fevzipaşa Cad., Derviş Ali Mh., Fatih, İstanbul||Karagümrük Stadı, Fatih, İstanbul",Fatih Belediyesi (2019 resmî liste)
Karagümrük Çocuk Parkı,toplanma_alani,,,Hırka-i Şerif Mh.,Karagümrük Meydanı Sk.- Karabulut Sk.,"Karagümrük Çocuk Parkı, Karagümrük Meydanı Sk.- Karabulut Sk., Hırka-i Şerif Mh., Fatih, İstanbul||Karagümrük Çocuk Parkı, Fatih, İstanbul",Fatih Belediyesi (2019 resmî liste)
Kariye Meydan Parkı,toplanma_alani,,,Derviş Ali Mh.,Feyzullah Efendi Sk.,"Kariye Meydan Parkı, Feyzullah Efendi Sk., Derviş Ali Mh., Fatih, İstanbul||Kariye Meydan Parkı, Fatih, İstanbul",Fatih Belediyesi (2019 resmî liste)
